DESCR,SKU,QTD FATURADA
(MOMENTO) SUPORTE DE COPOS DIREITO,96617,"1,00"
Inissia - Drip grid (C range),93446,"1,00"
VERTUO ESPRESSO SET,3590,"1,00"
Expert - Capsule container,95817,"1,00"
Momento Back Panel M with Payment System,30095,"1,00"
CREATISTA Milk Jug Assembly 20Pc XI,95925,"1,00"
New Latti 2019 Walter Tank & Lid Assy,96540,"1,00"
CREATISTA Water Tank Cover 20Pc XI,95929,"1,00"
View Set of 12 Large Spoon - Bulk,3425,"1,00"
Inissia - Drip grid (D range),93447,"1,00"
Latt PRO - Complete milk tank (with lid),93904,"1,00"
Latt FL - Milk aspiration tube,93239,"1,00"
Latt Plus - Drip grid,93106,"1,00"
U - Water tank lid,93253,"1,00"
Latt Plus - Milk tank lid and aspiration,94143,"1,00"
Showcase B2B Capsule Presentation Box,5003,"1,00"
"Nomad Travel Mug , L Olive Green",3563,"1,00"
On-The-Go Bottle Small,3677,"1,00"
Barista Lid,96524,"1,00"
Essenza Mini - Drip tray (D range),96007,"1,00"
New Latti 2019 Caps Contain Assy Black,96548,"1,00"
U - Cup support,93259,"1,00"
MOMENTO - Grade da Bandeja Single,96618,"1,00"
Latt PRO - Capsule container with grid,93898,"1,00"
Cabo de alimentacao (ZENIUS),95623,"1,00"
Vertuo Gran Lungo Set,3591,"1,00"
