DESCR,SKU,QTD FATURADA
"NOMAD TRAVEL MUG , L AQUARELLE",136876,"1 086,00"
FESTIVE TRAVEL POUCH,139505,"1 061,00"
IL CAFE sleeve update 2024,"7299,1","1 050,00"
DARK CHOCOLATE WITH CARAMELISED HAZELNUT,139509,"1 038,00"
Altissio,"7216,1","1 030,00"
Pastinha de limpeza para Aguila,94892,"898,00"
Bulk of Sugar Sachets 4g (x300),3519/BULK,"885,00"
MELOZIO DECAFFEINATO,"7234,1","820,00"
NEPAL LAMJUNG EXCLUSIVE SELECTION,"8624,81","800,00"
MILK CHOCOLATE PIECES,142267,"780,00"
Lume Espresso Cup (12),3533,"744,00"
ORAFIO:ROAST AND GROUND COFFEE,"7213,1","720,00"
NOMAD TRAVEL MUG S TERRACOTTA,132077,"661,00"
1 BARISTA ICE TRAY MANDARIN ORANGE,137277,"614,00"
LUME SMALL SAUCER,3545,"584,00"
1 BARISTA FESTIVE GLASS,139305,"556,00"
CANTUCCINI NEW 120G,128003,"506,00"
LID FOR CUP,137102,"496,00"
Barista Creations Piccolo 2022,"7230,1","480,00"
DARK CHOCOLATE PIECES,142268,"468,00"
GALAPAGOS EXCLUSIVE SELECTION,"8623,81","450,00"
Brazil Organic,"7737,1","420,00"
Recycling container,3405-BR,"362,00"
Brown Sugar,3517,"359,00"
Recyclable Paper Cup 360ml,5116,"313,00"
WINSET VTUO N23 R1,131709,"311,00"
DISPLAY MIA CAPSULE DISPENSER,3795,"309,00"
WE CADIZ ROASTED AND GROUND COFFE,"7793,1","300,00"
VOLLUTO,"7586,1","280,00"
ESSENZA Mini C30 Preta 110V,C30-BR-BK-NE2,"275,00"
2 COASTERS LIMITED EDITION,137275,"251,00"
ESSENZA Mini C30 Preta 220V,C30-BR3-BK-NE2,"244,00"
Serving Mini Display,135065,"243,00"
DESSERT BOWLS X 2,137546,"242,00"
PIXIE LUNGO SHANGAI,125411,"241,00"
Lume Cappucino Cup (12),3532,"232,00"
DOUBLE ESPRESSO SCURO,"7225,1","230,00"
ARONDIO NEW,"7232,1","230,00"
NOMAD FESTIVE TRAVEL MUG,139376,"208,00"
Display Cube Capsule Dispenser,3585,"208,00"
LUME LARGE,3541,"189,00"
PIXIE ESPRESSO PARIS,122520,"185,00"
NEW Showcase B2B Capsule Presentation Bo,5003/1,"170,00"
PIXIE LUNGO BUENOS AIRES,125413,"162,00"
BC PUMPKIN:FLAVOURED ROASTED GROUND COFFEE,"7272,8","160,00"
Reservatorio de agua Zenius,93960,"156,00"
Identificador de Cafe Ristretto (KIT c/,85156/50,"155,00"
PIXIE LUNGO STOCKHOLM,125408,"146,00"
PIXIE LUNGO TOKYO,125409,"144,00"
OL PUMPKIN,"7784,1","140,00"
TOUCH TRAVEL MUG NEW,137069,"132,00"
Coffee Mug Limited edition Mandarin Orange,137359,"132,00"
MO EL SALVADOR,"7276,1","130,00"
World Exploration Lisbon Bica LE,"7794,1","130,00"
DESCALING KIT B2C,142420,"125,00"
ESSENZA Mini D30 Vermelha 110V,D30-BR-RE-NE2,"124,00"
TOCCANTO:ROAST AND GROUND COFFEE,"7241,1","120,00"
CAIXA SUSTENTABILIDADE MONTADA,CXP05,"113,00"
Bamboo Recipe Stirrer_wrapped,3561,"111,00"
DOUBLE ESPRESSO CHIARO,"7224,1","100,00"
Identificador de Xícara Brazil Organic,145570,"94,00"
Aero3 Refresh BRB standalone Black,3594-BRB-BK,"93,00"
IMÃ NESPRESSO B2B,126835,"91,00"
2 Nude Lungo Cups,3434,"90,00"
Altissimo Decaffeinato,"7244,1","90,00"
BC GINGER,"7283,8","90,00"
New Hotel Capsule Box,5405/1,"88,00"
"2 VERTUO CUPS, SAUCERS & SPOONS",134502,"87,00"
1X PIXIE LUNGO VIENNA,125410,"84,00"
PIXIE LUNGO CAPE TOWN,125412,"84,00"
Recycling Container Blue,3405-BR/2,"83,00"
PIXIE EXPRESSO ISTANBUL,122661,"80,00"
INTENSO,"7202,1","80,00"
Peppermint VL,"7273,8","80,00"
PORTA INSUMOS G ( ESPAÇO P/GUARDANAPOS),145541,"78,00"
PIXIE ESPRESSO RIO,122660,"74,00"
ESSENZA Mini C30 Branca 110V,C30-BR-WH-NE2,"73,00"
VERTUO POP BLACK 110V,GDV2-BR-BK-NE,"70,00"
FORTADO NEW,"7233,1","70,00"
Aero3 Refresh BRA standalone Black,3594-BRA-BK,"69,00"
AEROCCINO 4 110V NEW,4194-BRA-SI-NE,"67,00"
RECYCLING BIN NEW,128557,"66,00"
DISPLAY DRAWER CAPSULE DISPENSER,140961,"61,00"
STORMIO,"7197,1","60,00"
White Sugar Bulk,3516/BULK,"59,00"
2 VERTUO GRAN LUNGO CUPS & SPOONS,134504,"59,00"
"2 Vertuo Lungo Cups, Saucers & Spoons",134508,"57,00"
Pro Dispenser,3800,"56,00"
Inissia - Water tank,93449,"56,00"
LID FOR CUP 600ML,137101,"54,00"
TESTEIRA BLACK ZENIUS HORECA,145525,"53,00"
Gift Box 150 capsulas BTQ,103706,"50,00"
DISPLAY VERTICAL ORIGINAL,134784,"49,00"
View Bonbonniere,3594,"49,00"
LEMON FLAVOURED SHORTBREAD,137363,"48,00"
PORTA INSUMOS M - PLASTICO,145539,"48,00"
Essenza Mini - Water tank,96044,"47,00"
VERTUO POP BLACK 220V,GDV2-BR3-BK-NE,"46,00"
Identificador de Xícara Finezzo,145567,"46,00"
Identificador de Xícara Decaffeinato,145569,"46,00"
WINSET OL N23 R1,136054,"43,00"
Identificador de Xícara Intenso,145568,"42,00"
LUME ESPRESSO CUPS & SALCERS,3790,"42,00"
PIXIE D62 SILVER NESPRESSO 110V,D62-BR-SI-NE,"41,00"
Adesivo Bombona B2B,126833,"41,00"
Identificador de Cafe Espresso Caramel (,10560/50,"40,00"
Craft Tray,3531,"39,00"
NESPRS CIRCULAR ESPRESSO CUP 8PC XL,3436,"39,00"
PIXIE C62 BR TITAN NESPRESSO 110V,C62-BR-TI-NE,"38,00"
2 LUME Lungo Cups & 2 Saucers,3793,"37,00"
2 VERTUO MUGS MEDIUM & SPOONS,134505,"36,00"
"6 VIEW SPOON,SMALL",3783,"35,00"
TESTEIRA BLCK DOUBLE MILK HORECA,145531,"34,00"
Origin Collection Espresso 2022,3524,"34,00"
ESSENZA Mini C30 Branca 220V,C30-BR3-WH-NE2,"33,00"
AEROCCINO 4 220V NEW,4194-BRB-SI-NE,"32,00"
GRAN LATISSIMA BLACK 110V,F541-BR-BK-NE,"32,00"
Origin Collection Lungo,3527,"32,00"
BOLSA 100% ALGODÃO COMPOSTO,123091,"31,00"
MILK CHOCOLATE PIECES XE 200G NEW SKU,127704,"31,00"
KIT CAIXA COLETORA SUSTENTABILIDADE,CX007,"31,00"
DISPLAY VERTICAL VERTUO,133246,"31,00"
Porta Insumos Madeira,117923,"30,00"
2 Vertuo Mugs Small & Spoons,134506,"30,00"
VIEW Set of 12 Espresso Cups (in bulk),3735/BULK,"30,00"
Porta Insumos de Acrilico,117922,"30,00"
PORTA INSUMOS ACRILICO P,126839,"30,00"
TOKYO  LUNGO,"7758,1","30,00"
Vivida:Roasted and ground coffee with vitamin B12,"7063,6","30,00"
Creatista Plus BR Metalic Nespresso,J520-BR-ME-NE,"29,00"
CITIZ PLATINUM TITAN C140 127V,C140-BR-TI-NE,"29,00"
Identificador de Cafe Espresso Leggero (,85158/50,"29,00"
TESTEIRA BLACK SINGLE OFFICES,145527,"29,00"
Identificador de Cafe Lungo Leggero (KIT,85160/50,"28,00"
ESSENZA Mini D30 Vermelha 220V,D30-BR3-RE-NE2,"28,00"
ALTO AMBRATO,"7242,1","28,00"
EXPERT C80 Preta 110V,C80-BR-BK-NE,"27,00"
Reveal Espresso Mild,125010,"26,00"
PIXIE D62 SILVER NESPRESSO 220V,D62-BR3-SI-NE,"25,00"
2 VERTUO MUG SET LARGE & SPOONS,134509,"25,00"
12 VIEW SPOONS SMALL - BULK,143773,"25,00"
CHOCOLATE CHIP COOKIES,137375,"25,00"
VERTUO POP GCV2 BR PANTONE,GCV2-BR-PA-NE,"25,00"
CITIZ PLATINUM METAL D140 110V,D140-BR-ME-NE,"24,00"
PIXIE C62 BR3 TITAN NESPRESSO 220V,C62-BR3-TI-NE,"24,00"
VIEW Set of 12 Small Saucers (in bulk),3740/BULK,"24,00"
Lume Coffee Mugs,3791,"24,00"
Vertuo Carafe Set,3787,"23,00"
2 Nude Gran Lungo Cups,3432,"23,00"
TESTEIRA BLACK SINGLE HORECA,145528,"22,00"
CITIZ PLATINUM METAL D140 220V,D140-BR3-ME-NE,"22,00"
VERTUO NEXT GCV1 BR CHERRY RED NESPRESSO,GCV1-BR-RE-NE,"21,00"
REVEAL Espresso Intense,124963,"21,00"
CitiZ Black D113 220V,D113-BR3-BK-NE2,"21,00"
AANESPRS Coaster vienna,3769,"21,00"
CITIZ PLATINUM TITAN C140 220V,C140-BR3-TI-NE,"20,00"
BC BIANCO FORTE,"7204,1","20,00"
Alessi Double Limited Edition,3555,"20,00"
CARAMELIZIO,"7252,1","20,00"
VERTUO NEXT GCV1 BR3 MATT BLACK NESPRESSO 220V,GCV1-BR3-MB-NE,"19,00"
Gran Latíssima Black 220V,F541-BR3-BK-NE,"19,00"
PIXIE D62 BR3 DARK NESPRESSO 220V,D62-BR3-BL-NE,"18,00"
VERTUO POP RED 110V,GCV2-BR-RE-NE,"18,00"
CitiZ Black D113 110V,D113-BR-BK-NE2,"18,00"
Reveal Cold Brew Cups,3581,"18,00"
"6 VIEW Spoon, Large",3785,"18,00"
Identificador de Xícara Caramello,145574,"17,00"
